rank,college_name,early_careerr,mid_career
47 (tie),Washington University in St. Louis,"$56,700.00","$103,000.00"
49 (tie),California Polytechnic State University (CalPoly) - San Luis Obispo,"$59,300.00","$102,000.00"
49 (tie),"Loyola University - Baltimore, MD","$51,800.00","$102,000.00"
49 (tie),Michigan Technological University,"$63,000.00","$102,000.00"
49 (tie),Northwestern University,"$56,800.00","$102,000.00"
49 (tie),University of Illinois at Urbana-Champaign (UIUC),"$58,100.00","$102,000.00"
49 (tie),Yale University,"$60,800.00","$102,000.00"
55 (tie),Franklin and Marshall College,"$45,600.00","$101,000.00"
55 (tie),Missouri University of Science and Technology (S&T),"$63,400.00","$101,000.00"
55 (tie),South Dakota School of Mines & Technology,"$63,300.00","$101,000.00"
55 (tie),University of California - Santa Barbara (UCSB),"$50,400.00","$101,000.00"
55 (tie),Villanova University,"$58,600.00","$101,000.00"
60 (tie),Massachusetts Maritime Academy,"$58,900.00","$100,000.00"
60 (tie),New Jersey Institute of Technology (NJIT),"$57,100.00","$100,000.00"
60 (tie),New York University (NYU),"$55,700.00","$100,000.00"
60 (tie),University of Southern California (USC),"$56,100.00","$100,000.00"
64,Texas A&M University - Main Campus,"$54,400.00","$99,700.00"
65,University of San Francisco (USF),"$51,100.00","$99,500.00"
66,Trinity University,"$44,900.00","$99,400.00"
67 (tie),Boston College,"$56,800.00","$98,900.00"
67 (tie),University of Michigan - Ann Arbor,"$60,600.00","$98,900.00"
69 (tie),Carleton College,"$46,900.00","$98,800.00"
69 (tie),Wake Forest University,"$49,300.00","$98,800.00"
71,Vanderbilt University,"$57,900.00","$98,700.00"
72,University of California - Davis (UC Davis),"$51,800.00","$98,400.00"
73,University of California - Los Angeles (UCLA),"$53,100.00","$98,100.00"
74,Westmont College,"$45,700.00","$98,000.00"
75,San Jose State University (SJSU),"$56,800.00","$97,700.00"
76,University of Virginia (UVA) - Main Campus,"$57,300.00","$97,100.00"
77,"Wheaton College - Wheaton, IL","$43,300.00","$96,900.00"
78,Wentworth Institute of Technology,"$56,900.00","$96,800.00"
79,University of Texas (UT) - Austin,"$53,400.00","$96,400.00"
80 (tie),Bryant University,"$51,600.00","$96,200.00"
80 (tie),"Hamilton College - Clinton, NY","$54,600.00","$96,200.00"
82,Virginia Polytechnic Institute and State University (Virginia Tech),"$56,500.00","$96,100.00"
83,Providence College,"$50,600.00","$96,000.00"
84,"Pace University - New York, NY","$51,300.00","$95,800.00"
85,American University - Washington D.C.,"$46,100.00","$95,700.00"
86 (tie),"Embry-Riddle Aeronautical University (ERAU) - Prescott, AZ","$59,700.00","$95,500.00"
86 (tie),Florida Institute of Technology (Florida Tech),"$56,700.00","$95,500.00"
88 (tie),DePauw University,"$47,900.00","$95,100.00"
88 (tie),Fordham University,"$50,500.00","$95,100.00"
88 (tie),"Wesleyan University - Middletown, CT","$50,000.00","$95,100.00"
91,Wittenberg University,"$44,500.00","$94,900.00"
92,Johns Hopkins University,"$61,500.00","$94,600.00"
93 (tie),Brandeis University,"$47,100.00","$94,400.00"
93 (tie),Ohio Northern University (ONU),"$50,700.00","$94,400.00"
93 (tie),University of Rochester,"$55,400.00","$94,400.00"
96 (tie),Stony Brook University,"$50,100.00","$94,300.00"
96 (tie),University of Colorado - Boulder (CU),"$50,800.00","$94,300.00"
98 (tie),Purdue University - Main Campus,"$57,400.00","$94,200.00"
98 (tie),University of Washington (UW) - Main Campus,"$55,100.00","$94,200.00"
100,"Embry-Riddle Aeronautical University (ERAU) - Daytona Beach, FL","$61,300.00","$94,100.00"
101,University of Alabama - Huntsville Campus,"$55,500.00","$94,000.00"
102,University of California - Irvine (UCI),"$51,900.00","$93,900.00"
103,Bentley University,"$57,100.00","$93,800.00"
104,Hofstra University,"$49,000.00","$93,700.00"
105,"Saint John's University (SJU) - Collegeville, MN","$46,900.00","$93,600.00"
106,Brigham Young University (BYU),"$52,300.00","$93,500.00"
107,University of Massachusetts (UMass) - Lowell Campus,"$54,100.00","$93,400.00"
108,California State University - Chico,"$49,800.00","$93,300.00"
109,"Miami University - Oxford, OH","$50,500.00","$93,200.00"
110,"Fashion Institute of Technology - New York, NY","$46,400.00","$93,100.00"
111 (tie),Drexel University,"$57,700.00","$92,900.00"
111 (tie),Hobart William Smith Colleges,"$48,600.00","$92,900.00"
111 (tie),Loyola Marymount University,"$50,300.00","$92,900.00"
114 (tie),Gettysburg College,"$46,400.00","$92,700.00"
114 (tie),SUNY - Binghamton University,"$50,400.00","$92,700.00"
114 (tie),University of Portland,"$52,500.00","$92,700.00"
117,Case Western Reserve University,"$58,600.00","$92,600.00"
118,Whittier College,"$39,800.00","$92,500.00"
119 (tie),"Union College - Schenectady, NY","$54,400.00","$92,200.00"
119 (tie),University of Maryland - College Park,"$55,200.00","$92,200.00"
121,Milwaukee School of Engineering,"$63,500.00","$92,000.00"
122,Lawrence Technological University,"$53,200.00","$91,800.00"
123,Saint Anselm College,"$49,000.00","$91,600.00"
124,University of Puget Sound,"$46,500.00","$91,400.00"
