Rank,CollegeTYpe,College Type,Early Career,Mid Career
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
41 (tie),Tufts University,"Private School, Research University","$56,700.00","$106,000.00"
[object Object],"Private School, Research University",,,
,,,,
43 (tie),Illinois Institute of Technology (IIT),"Private School, Research University, Engineering School","$59,900.00","$105,000.00"
[object Object],"Private School, Research University, Engineering School",,,
,,,,
43 (tie),Kettering University,"Private School, Engineering School","$66,300.00","$105,000.00"
[object Object],"Private School, Engineering School",,,
,,,,
45 (tie),Manhattan College,"Private School, Religious, For Sports Fans","$58,500.00","$104,000.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
45 (tie),University of Notre Dame,"Private School, Research University, Religious, For Sports Fans","$61,200.00","$104,000.00"
[object Object],"Private School, Research University, Religious, For Sports Fans",,,
,,,,
47 (tie),Oberlin College,"Private School, Liberal Arts School","$44,900.00","$103,000.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
47 (tie),Washington University in St. Louis,"Private School, Research University","$56,700.00","$103,000.00"
[object Object],"Private School, Research University",,,
,,,,
49 (tie),California Polytechnic State University (CalPoly) - San Luis Obispo,"State School, For Sports Fans","$59,300.00","$102,000.00"
[object Object],"State School, For Sports Fans",,,
,,,,
49 (tie),"Loyola University - Baltimore, MD","Private School, Religious, For Sports Fans","$51,800.00","$102,000.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
49 (tie),Michigan Technological University,"State School, Research University, Engineering School","$63,000.00","$102,000.00"
[object Object],"State School, Research University, Engineering School",,,
,,,,
49 (tie),Northwestern University,"Private School, Research University, For Sports Fans","$56,800.00","$102,000.00"
[object Object],"Private School, Research University, For Sports Fans",,,
,,,,
49 (tie),University of Illinois at Urbana-Champaign (UIUC),"State School, Research University, Party School, For Sports Fans","$58,100.00","$102,000.00"
[object Object],"State School, Research University, Party School, For Sports Fans",,,
,,,,
49 (tie),Yale University,"Private School, Research University, Ivy League, For Sports Fans","$60,800.00","$102,000.00"
[object Object],"Private School, Research University, Ivy League, For Sports Fans",,,
,,,,
55 (tie),Franklin and Marshall College,"Private School, Liberal Arts School","$45,600.00","$101,000.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
55 (tie),Missouri University of Science and Technology (S&T),"State School, Research University, Engineering School","$63,400.00","$101,000.00"
[object Object],"State School, Research University, Engineering School",,,
,,,,
55 (tie),South Dakota School of Mines & Technology,"State School, Engineering School","$63,300.00","$101,000.00"
[object Object],"State School, Engineering School",,,
,,,,
