Rank,CollegeTYpe,College Type,Early Career,Mid Career
188,"Wofford College - Spartanburg, SC","Private School, Liberal Arts School, Religious, For Sports Fans","$44,900.00","$87,200.00"
[object Object],"Private School, Liberal Arts School, Religious, For Sports Fans",,,
,,,,
189 (tie),Coleman University,"Private School, Engineering School","$57,100.00","$87,100.00"
[object Object],"Private School, Engineering School",,,
,,,,
189 (tie),Norwich University,Private School,"$46,800.00","$87,100.00"
[object Object],Private School,,,
,,,,
189 (tie),The Citadel - Military College of South Carolina *,"State School, For Sports Fans","$53,400.00","$87,100.00"
[object Object],"State School, For Sports Fans",,,
,,,,
189 (tie),University of Arizona,"State School, Research University, For Sports Fans","$50,500.00","$87,100.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
193 (tie),California Lutheran University (CLU),"Private School, Religious","$42,500.00","$87,000.00"
[object Object],"Private School, Religious",,,
,,,,
193 (tie),Oregon Institute of Technology (OIT),State School,"$59,500.00","$87,000.00"
[object Object],State School,,,
,,,,
195 (tie),University of Michigan - Dearborn Campus,State School,"$49,400.00","$86,900.00"
[object Object],State School,,,
,,,,
195 (tie),University of Minnesota - Twin Cities,"State School, Research University, For Sports Fans","$51,700.00","$86,900.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
197 (tie),University of Tulsa,"Private School, Religious, For Sports Fans","$56,100.00","$86,800.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
197 (tie),University of Wisconsin (UW) - Madison,"State School, Research University, Party School, For Sports Fans","$50,800.00","$86,800.00"
[object Object],"State School, Research University, Party School, For Sports Fans",,,
,,,,
199 (tie),Long Island University - C W Post Campus,Private School,"$46,700.00","$86,700.00"
[object Object],Private School,,,
,,,,
199 (tie),SUNY - Geneseo,State School,"$43,300.00","$86,700.00"
[object Object],State School,,,
,,,,
199 (tie),University of Washington - Bothell Campus,State School,"$51,800.00","$86,700.00"
[object Object],State School,,,
,,,,
202,James Madison University (JMU),"State School, For Sports Fans","$49,500.00","$86,600.00"
[object Object],"State School, For Sports Fans",,,
,,,,
203,Gustavus Adolphus College,"Private School, Liberal Arts School, Religious","$45,100.00","$86,500.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
204 (tie),Saint Peters College,"Private School, Religious, For Sports Fans","$46,300.00","$86,400.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
204 (tie),University of Massachusetts (UMass) - Dartmouth Campus,State School,"$50,300.00","$86,400.00"
[object Object],State School,,,
,,,,
204 (tie),University of Pittsburgh - Main Campus,"State School, Research University, For Sports Fans","$53,300.00","$86,400.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
207,University of Houston (UH),"State School, Research University, For Sports Fans","$51,800.00","$86,300.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
208,University of Redlands,Private School,"$47,400.00","$86,100.00"
[object Object],Private School,,,
,,,,
209,Syracuse University,"Private School, Research University, Party School, For Sports Fans","$51,900.00","$86,000.00"
[object Object],"Private School, Research University, Party School, For Sports Fans",,,
,,,,
210,Farmingdale State College,State School,"$49,200.00","$85,900.00"
[object Object],State School,,,
,,,,
211,Whitman College,"Private School, Liberal Arts School","$44,000.00","$85,800.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
212,New York Institute of Technology (NYIT),Private School,"$53,200.00","$85,600.00"
[object Object],Private School,,,
,,,,
213 (tie),Long Island University - Brooklyn,"Private School, For Sports Fans","$55,200.00","$85,500.00"
[object Object],"Private School, For Sports Fans",,,
,,,,
213 (tie),Montana State University - Main Campus,"State School, Research University, For Sports Fans","$48,400.00","$85,500.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
213 (tie),University of Colorado - Denver Campus,"State School, Research University","$50,000.00","$85,500.00"
[object Object],"State School, Research University",,,
,,,,
213 (tie),University of Idaho,"State School, Research University, For Sports Fans","$48,300.00","$85,500.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
217 (tie),Drake University,"Private School, For Sports Fans","$45,100.00","$85,400.00"
[object Object],"Private School, For Sports Fans",,,
,,,,
217 (tie),University of Illinois at Chicago,"State School, Research University, For Sports Fans","$51,500.00","$85,400.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
219,University of California - Santa Cruz (UCSC),"State School, Research University","$49,900.00","$85,300.00"
[object Object],"State School, Research University",,,
,,,,
220 (tie),Gonzaga University,"Private School, Religious, For Sports Fans","$51,700.00","$85,200.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
220 (tie),Michigan State University (MSU),"State School, Research University, For Sports Fans","$49,800.00","$85,200.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
220 (tie),Middlebury College,"Private School, Liberal Arts School","$49,200.00","$85,200.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
223 (tie),Colorado College (CC),"Private School, Liberal Arts School","$42,700.00","$85,100.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
223 (tie),Rockhurst University,"Private School, Religious","$46,800.00","$85,100.00"
[object Object],"Private School, Religious",,,
,,,,
223 (tie),University of Florida (UF),"State School, Research University, Party School, For Sports Fans","$49,500.00","$85,100.00"
[object Object],"State School, Research University, Party School, For Sports Fans",,,
,,,,
223 (tie),University of North Carolina at Chapel Hill (UNC),"State School, Research University, For Sports Fans","$46,600.00","$85,100.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
227,SUNY - Albany,"State School, Research University, For Sports Fans","$44,800.00","$84,900.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
228 (tie),CUNY - Bernard M Baruch College,"State School, Business School, Sober School","$51,700.00","$84,500.00"
[object Object],"State School, Business School, Sober School",,,
,,,,
228 (tie),"Mount St. Mary's College - Los Angeles, CA","Private School, Religious","$44,000.00","$84,500.00"
[object Object],"Private School, Religious",,,
,,,,
228 (tie),The New School,"Private School, Arts, Music & Design School","$47,700.00","$84,500.00"
[object Object],"Private School, Arts, Music & Design School",,,
,,,,
231 (tie),California State University - Sacramento (CSUS),"State School, For Sports Fans","$46,800.00","$84,300.00"
[object Object],"State School, For Sports Fans",,,
,,,,
231 (tie),Walla Walla University,"Private School, Religious","$51,000.00","$84,300.00"
[object Object],"Private School, Religious",,,
,,,,
233 (tie),CUNY - Queens College,"State School, Sober School","$45,700.00","$84,200.00"
[object Object],"State School, Sober School",,,
,,,,
233 (tie),California State University - Long Beach (CSULB),"State School, For Sports Fans","$45,300.00","$84,200.00"
[object Object],"State School, For Sports Fans",,,
,,,,
233 (tie),Grinnell College,"Private School, Liberal Arts School","$41,100.00","$84,200.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
233 (tie),Macalester College,"Private School, Liberal Arts School, Religious","$44,700.00","$84,200.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
233 (tie),University of Oklahoma,"State School, Research University, For Sports Fans","$49,300.00","$84,200.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
238 (tie),DePaul University,"Private School, Religious, For Sports Fans","$50,200.00","$84,000.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
238 (tie),New England Institute of Technology,Private School,"$44,500.00","$84,000.00"
[object Object],Private School,,,
,,,,
238 (tie),University of Massachusetts (UMass) - Amherst Campus,"State School, Research University, For Sports Fans","$50,000.00","$84,000.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
238 (tie),University of Missouri - Columbia,"State School, Research University, For Sports Fans","$44,200.00","$84,000.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
242 (tie),"Fairleigh Dickinson University (FDU) - Madison, NJ","Private School, For Sports Fans","$46,200.00","$83,900.00"
[object Object],"Private School, For Sports Fans",,,
,,,,
242 (tie),Sonoma State University,State School,"$46,100.00","$83,900.00"
[object Object],State School,,,
,,,,
242 (tie),"St. Mary's University - San Antonio, TX","Private School, Religious","$44,400.00","$83,900.00"
[object Object],"Private School, Religious",,,
,,,,
242 (tie),University of Denver,"Private School, Research University, For Sports Fans","$47,800.00","$83,900.00"
[object Object],"Private School, Research University, For Sports Fans",,,
,,,,
242 (tie),University of Georgia (UGA),"State School, Research University, Party School, For Sports Fans","$47,300.00","$83,900.00"
[object Object],"State School, Research University, Party School, For Sports Fans",,,
,,,,
242 (tie),Wellesley College,"Private School, Liberal Arts School","$51,000.00","$83,900.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
248,Centre College of Kentucky,"Private School, Liberal Arts School, Religious","$41,100.00","$83,600.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
249,California State University - Northridge (CSUN),"State School, For Sports Fans","$44,900.00","$83,500.00"
[object Object],"State School, For Sports Fans",,,
,,,,
250 (tie),Lewis & Clark College,"Private School, Liberal Arts School","$44,000.00","$83,200.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
250 (tie),"North Central College - Naperville, IL","Private School, Religious","$43,800.00","$83,200.00"
[object Object],"Private School, Religious",,,
,,,,
250 (tie),San Diego State University (SDSU) - Main Campus,"State School, Research University, For Sports Fans","$49,700.00","$83,200.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
250 (tie),University of Maryland University College (UMUC),State School,"$50,600.00","$83,200.00"
[object Object],State School,,,
,,,,
250 (tie),"University of St. Thomas - St Paul, MN","Private School, Religious","$49,100.00","$83,200.00"
[object Object],"Private School, Religious",,,
,,,,
255 (tie),Iona College,"Private School, Religious, For Sports Fans","$49,900.00","$83,100.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
255 (tie),Pennsylvania State University (Penn State) - Erie-Behrend College,State School,"$55,400.00","$83,100.00"
[object Object],State School,,,
,,,,
255 (tie),University of Evansville,"Private School, Religious, For Sports Fans","$46,200.00","$83,100.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
258,University of Texas at Arlington (UTA),"State School, Research University, For Sports Fans","$51,800.00","$83,000.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
259 (tie),Baylor University,"Private School, Research University, Religious, For Sports Fans","$49,700.00","$82,900.00"
[object Object],"Private School, Research University, Religious, For Sports Fans",,,
,,,,
259 (tie),Butler University,"Private School, For Sports Fans","$44,600.00","$82,900.00"
[object Object],"Private School, For Sports Fans",,,
,,,,
259 (tie),Howard University,"Private School, Research University, For Sports Fans","$50,000.00","$82,900.00"
[object Object],"Private School, Research University, For Sports Fans",,,
,,,,
259 (tie),University of Kentucky (UK),"State School, Research University, For Sports Fans","$46,100.00","$82,900.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
259 (tie),University of New Hampshire (UNH) - Main Campus,"State School, Research University, For Sports Fans","$49,000.00","$82,900.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
259 (tie),University of New Mexico (UNM),"State School, Research University, For Sports Fans","$40,700.00","$82,900.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
265 (tie),Arcadia University,"Private School, Religious","$36,900.00","$82,800.00"
[object Object],"Private School, Religious",,,
,,,,
265 (tie),Louisiana State University (LSU),"State School, Research University, For Sports Fans","$47,000.00","$82,800.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
265 (tie),Oklahoma State University (OSU) - Main Campus,"State School, Research University, For Sports Fans","$46,500.00","$82,800.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
265 (tie),San Francisco State University (SFSU),State School,"$49,500.00","$82,800.00"
[object Object],State School,,,
,,,,
269 (tie),Montclair State University,State School,"$44,200.00","$82,700.00"
[object Object],State School,,,
,,,,
269 (tie),University of Texas - Medical Branch (UTMB),State School,"$58,400.00","$82,700.00"
[object Object],State School,,,
,,,,
269 (tie),Widener University - Main Campus,Private School,"$49,700.00","$82,700.00"
[object Object],Private School,,,
,,,,
272 (tie),Colorado State University (CSU),"State School, Research University, For Sports Fans","$46,800.00","$82,600.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
272 (tie),"Fairleigh Dickinson University (FDU) - Teaneck, NJ",Private School,"$46,800.00","$82,600.00"
[object Object],Private School,,,
,,,,
272 (tie),Pennsylvania State University (Penn State) - Harrisburg Campus,State School,"$52,100.00","$82,600.00"
[object Object],State School,,,
,,,,
272 (tie),Samford University,"Private School, Religious, For Sports Fans","$43,100.00","$82,600.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
272 (tie),St. Olaf College,"Private School, Liberal Arts School, Religious","$45,200.00","$82,600.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
272 (tie),Thomas Edison State College,State School,"$47,500.00","$82,600.00"
[object Object],State School,,,
,,,,
272 (tie),University at Buffalo (UB),"State School, Research University, For Sports Fans","$47,600.00","$82,600.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
279 (tie),Alma College,"Private School, Liberal Arts School, Religious","$42,200.00","$82,500.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
279 (tie),Rhode Island School of Design (RISD),"Private School, Arts, Music & Design School","$48,500.00","$82,500.00"
[object Object],"Private School, Arts, Music & Design School",,,
,,,,
279 (tie),Siena College,"Private School, Liberal Arts School, Religious, For Sports Fans","$46,800.00","$82,500.00"
[object Object],"Private School, Liberal Arts School, Religious, For Sports Fans",,,
,,,,
279 (tie),The University of Texas (UT) - Health Science Center at San Antonio,State School,"$52,700.00","$82,500.00"
[object Object],State School,,,
,,,,
283 (tie),Iowa State University,"State School, Research University, For Sports Fans","$51,200.00","$82,400.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
283 (tie),Loma Linda University,"Private School, Religious","$68,500.00","$82,400.00"
[object Object],"Private School, Religious",,,
,,,,
283 (tie),Ohio State University (OSU) - Main Campus,"State School, Research University, For Sports Fans","$51,600.00","$82,400.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
283 (tie),Utah State University - Main Campus,"State School, Research University, For Sports Fans","$48,200.00","$82,400.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
287 (tie),Adelphi University,Private School,"$46,400.00","$82,300.00"
[object Object],Private School,,,
,,,,
287 (tie),University of Kansas,"State School, Research University, For Sports Fans","$46,900.00","$82,300.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
289 (tie),Ohio Wesleyan University (OWU),"Private School, Liberal Arts School, Religious","$41,600.00","$82,200.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
289 (tie),Ramapo College of New Jersey,State School,"$42,700.00","$82,200.00"
[object Object],State School,,,
,,,,
291,University of Scranton,"Private School, Religious","$47,300.00","$82,100.00"
[object Object],"Private School, Religious",,,
,,,,
292 (tie),Duquesne University,"Private School, Research University, Religious, For Sports Fans","$47,100.00","$82,000.00"
[object Object],"Private School, Research University, Religious, For Sports Fans",,,
,,,,
292 (tie),Kansas State University (KSU),"State School, Research University, For Sports Fans","$48,300.00","$82,000.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
292 (tie),"Monmouth University - West Long Branch, NJ","Private School, For Sports Fans","$47,100.00","$82,000.00"
[object Object],"Private School, For Sports Fans",,,
,,,,
295 (tie),California State University - Fullerton (CSUF),"State School, For Sports Fans","$43,400.00","$81,900.00"
[object Object],"State School, For Sports Fans",,,
,,,,
295 (tie),Quinnipiac University,"Private School, For Sports Fans","$49,400.00","$81,900.00"
[object Object],"Private School, For Sports Fans",,,
,,,,
297,Indiana University (IU) - Bloomington,"State School, Research University, For Sports Fans","$47,700.00","$81,800.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
298 (tie),Bloomsburg University of Pennsylvania,State School,"$44,500.00","$81,700.00"
[object Object],State School,,,
,,,,
298 (tie),"Cornell College - Mount Vernon, IA","Private School, Liberal Arts School, Religious","$41,100.00","$81,700.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
298 (tie),Lamar University,"State School, For Sports Fans","$49,800.00","$81,700.00"
[object Object],"State School, For Sports Fans",,,
,,,,
298 (tie),Smith College,"Private School, Liberal Arts School","$41,600.00","$81,700.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
298 (tie),University of North Dakota,"State School, Research University, For Sports Fans","$48,400.00","$81,700.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
298 (tie),Western Washington University,State School,"$47,900.00","$81,700.00"
[object Object],State School,,,
,,,,
304 (tie),Arizona State University (ASU),"State School, Research University, For Sports Fans","$49,300.00","$81,600.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
304 (tie),"Saint Joseph's University (SJU) - Philadelphia, PA","Private School, Business School, Religious, For Sports Fans","$48,800.00","$81,600.00"
[object Object],"Private School, Business School, Religious, For Sports Fans",,,
,,,,
304 (tie),University of San Diego (USD),"Private School, Religious, For Sports Fans","$51,800.00","$81,600.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
307 (tie),Humboldt State University,State School,"$41,400.00","$81,500.00"
[object Object],State School,,,
,,,,
307 (tie),New Mexico State University - Main Campus,"State School, Research University, For Sports Fans","$46,500.00","$81,500.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
307 (tie),University of Cincinnati (UC),"State School, Research University, For Sports Fans","$48,900.00","$81,500.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
310 (tie),Pacific Lutheran University,"Private School, Religious","$44,500.00","$81,400.00"
[object Object],"Private School, Religious",,,
,,,,
310 (tie),Tennessee Technological University (TTU),"State School, For Sports Fans","$53,800.00","$81,400.00"
[object Object],"State School, For Sports Fans",,,
,,,,
312 (tie),Art Center College of Design,"Private School, Arts, Music & Design School","$62,300.00","$81,300.00"
[object Object],"Private School, Arts, Music & Design School",,,
,,,,
312 (tie),Thomas Jefferson University,Private School,"$58,900.00","$81,300.00"
[object Object],Private School,,,
,,,,
314,Excelsior College,Private School,"$52,500.00","$81,200.00"
[object Object],Private School,,,
,,,,
315 (tie),Catholic University of America,"Private School, Research University, Religious","$52,000.00","$81,100.00"
[object Object],"Private School, Research University, Religious",,,
,,,,
315 (tie),University of Richmond,"Private School, Liberal Arts School, For Sports Fans","$52,200.00","$81,100.00"
[object Object],"Private School, Liberal Arts School, For Sports Fans",,,
,,,,
317 (tie),Southwestern University,"Private School, Liberal Arts School, Religious","$50,000.00","$81,000.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
317 (tie),University of New England (UNE),Private School,"$48,700.00","$81,000.00"
[object Object],Private School,,,
,,,,
317 (tie),Western New England College,Private School,"$54,300.00","$81,000.00"
[object Object],Private School,,,
,,,,
320,University of Nebraska - Lincoln,"State School, Research University, For Sports Fans","$44,600.00","$80,900.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
321 (tie),Alfred University,Private School,"$48,600.00","$80,800.00"
[object Object],Private School,,,
,,,,
321 (tie),Elizabethtown College,"Private School, Religious","$41,500.00","$80,800.00"
[object Object],"Private School, Religious",,,
,,,,
321 (tie),University of Iowa (UI),"State School, Research University, Party School, For Sports Fans","$48,600.00","$80,800.00"
[object Object],"State School, Research University, Party School, For Sports Fans",,,
,,,,
324,LeTourneau University,"Private School, Religious","$55,900.00","$80,700.00"
[object Object],"Private School, Religious",,,
,,,,
325,Rutgers University - Newark Campus,"State School, Research University","$50,200.00","$80,600.00"
[object Object],"State School, Research University",,,
,,,,
326,Hamline University,"Private School, Religious","$44,300.00","$80,500.00"
[object Object],"Private School, Religious",,,
,,,,
327 (tie),Bellarmine University,"Private School, Religious","$45,200.00","$80,400.00"
[object Object],"Private School, Religious",,,
,,,,
327 (tie),Biola University,"Private School, Religious","$43,000.00","$80,400.00"
[object Object],"Private School, Religious",,,
,,,,
327 (tie),Merrimack College,"Private School, Religious","$51,400.00","$80,400.00"
[object Object],"Private School, Religious",,,
,,,,
327 (tie),West Virginia University (WVU) - Main Campus,"State School, Research University, Party School, For Sports Fans","$48,500.00","$80,400.00"
[object Object],"State School, Research University, Party School, For Sports Fans",,,
,,,,
331 (tie),University of Maryland - Eastern Shore Campus,State School,"$39,200.00","$80,300.00"
[object Object],State School,,,
,,,,
331 (tie),University of Tennessee,"State School, Research University, For Sports Fans","$46,500.00","$80,300.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
333,CUNY - Brooklyn College,"State School, Sober School","$43,100.00","$80,200.00"
[object Object],"State School, Sober School",,,
,,,,
334,Morehouse College,"Private School, Liberal Arts School","$50,000.00","$80,100.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
335,The College of New Jersey (TCNJ),State School,"$51,100.00","$80,000.00"
[object Object],State School,,,
,,,,
336 (tie),Emerson College,Private School,"$43,100.00","$79,800.00"
[object Object],Private School,,,
,,,,
336 (tie),"Touro College - New York, NY",Private School,"$50,200.00","$79,800.00"
[object Object],Private School,,,
,,,,
338 (tie),Susquehanna University,"Private School, Liberal Arts School, Religious","$42,900.00","$79,700.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
338 (tie),University of Alaska - Anchorage Campus,State School,"$52,400.00","$79,700.00"
[object Object],State School,,,
,,,,
340,"Dickinson College - Carlisle, PA","Private School, Liberal Arts School","$45,500.00","$79,600.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
341 (tie),CUNY - City College,"State School, Sober School","$51,300.00","$79,500.00"
[object Object],"State School, Sober School",,,
,,,,
341 (tie),Minnesota State University - Mankato Campus,State School,"$45,600.00","$79,500.00"
[object Object],State School,,,
,,,,
341 (tie),University of Maine at Orono,"State School, Research University, For Sports Fans","$50,600.00","$79,500.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
344 (tie),Houston Baptist University,"Private School, Religious, For Sports Fans","$49,200.00","$79,400.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
344 (tie),University of Wyoming (UW),"State School, Research University, For Sports Fans","$48,500.00","$79,400.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
346 (tie),"Trine University - Angola, IN",Private School,"$54,600.00","$79,200.00"
[object Object],Private School,,,
,,,,
346 (tie),University of Detroit Mercy (UDM),"Private School, Religious, For Sports Fans","$50,300.00","$79,200.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
348 (tie),University of Texas at Dallas,"State School, Research University","$51,100.00","$79,100.00"
[object Object],"State School, Research University",,,
,,,,
348 (tie),University of Wisconsin (UW) - Platteville Campus,State School,"$55,500.00","$79,100.00"
[object Object],State School,,,
,,,,
350 (tie),North Dakota State University (NDSU),"State School, Research University, For Sports Fans","$49,500.00","$79,000.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
350 (tie),Prairie View A & M University,"State School, For Sports Fans","$52,100.00","$79,000.00"
[object Object],"State School, For Sports Fans",,,
,,,,
352,University of Minnesota - Duluth Campus,State School,"$48,900.00","$78,900.00"
[object Object],State School,,,
,,,,
353,"Oakland University - Rochester Hills, MI","State School, For Sports Fans","$47,300.00","$78,700.00"
[object Object],"State School, For Sports Fans",,,
,,,,
354,University of Massachusetts (UMass) - Boston Campus,"State School, Research University","$46,600.00","$78,600.00"
[object Object],"State School, Research University",,,
,,,,
355 (tie),Central College,"Private School, Liberal Arts School, Religious","$43,300.00","$78,500.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
355 (tie),Marist College,"Private School, For Sports Fans","$48,100.00","$78,500.00"
[object Object],"Private School, For Sports Fans",,,
,,,,
357 (tie),"Lake Superior State University - Sault Ste Marie, MI",State School,"$39,900.00","$78,400.00"
[object Object],State School,,,
,,,,
357 (tie),Suffolk University,Private School,"$45,700.00","$78,400.00"
[object Object],Private School,,,
,,,,
359 (tie),Canisius College,"Private School, Religious, For Sports Fans","$39,800.00","$78,300.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
359 (tie),SUNY - Institute of Technology (SUNYIT),State School,"$45,700.00","$78,300.00"
[object Object],State School,,,
,,,,
361 (tie),Framingham State University,State School,"$43,400.00","$78,100.00"
[object Object],State School,,,
,,,,
361 (tie),"Marymount University - Arlington, VA","Private School, Religious","$46,000.00","$78,100.00"
[object Object],"Private School, Religious",,,
,,,,
361 (tie),Stephen F. Austin State University (SFA),"State School, For Sports Fans","$40,700.00","$78,100.00"
[object Object],"State School, For Sports Fans",,,
,,,,
361 (tie),Worcester State University,State School,"$44,700.00","$78,100.00"
[object Object],State School,,,
,,,,
365 (tie),Dowling College,Private School,"$44,400.00","$78,000.00"
[object Object],Private School,,,
,,,,
365 (tie),University of Miami (UM) - Florida,"Private School, Research University, For Sports Fans","$50,600.00","$78,000.00"
[object Object],"Private School, Research University, For Sports Fans",,,
,,,,
367,SUNY - College of Environmental Science and Forestry (SUNY-ESF),"State School, Engineering School","$46,200.00","$77,900.00"
[object Object],"State School, Engineering School",,,
,,,,
368 (tie),Daemen College,Private School,"$38,200.00","$77,800.00"
[object Object],Private School,,,
,,,,
368 (tie),Hartwick College,"Private School, Liberal Arts School","$46,300.00","$77,800.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
370 (tie),Creighton University,"Private School, Religious, For Sports Fans","$44,800.00","$77,700.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
370 (tie),Mississippi State University (MSU),"State School, Research University, For Sports Fans","$45,200.00","$77,700.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
370 (tie),Temple University,"State School, Research University, For Sports Fans","$45,600.00","$77,700.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
370 (tie),Western Connecticut State University,State School,"$42,900.00","$77,700.00"
[object Object],State School,,,
,,,,
374 (tie),Le Moyne College,"Private School, Religious","$38,200.00","$77,600.00"
[object Object],"Private School, Religious",,,
,,,,
374 (tie),University of Louisiana - Monroe Campus,"State School, For Sports Fans","$45,000.00","$77,600.00"
[object Object],"State School, For Sports Fans",,,
,,,,
376 (tie),"Allegheny College - Meadville, PA","Private School, Liberal Arts School, Religious","$39,700.00","$77,500.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
376 (tie),"Carroll College - Helena, MT","Private School, Religious","$45,200.00","$77,500.00"
[object Object],"Private School, Religious",,,
,,,,
376 (tie),Eastern Illinois University,"State School, For Sports Fans","$42,500.00","$77,500.00"
[object Object],"State School, For Sports Fans",,,
,,,,
376 (tie),Southern Illinois University (SIU) - Carbondale Campus,"State School, Research University, For Sports Fans","$44,600.00","$77,500.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
380 (tie),"Loyola University - Chicago, IL","Private School, Research University, Religious, For Sports Fans","$45,600.00","$77,400.00"
[object Object],"Private School, Research University, Religious, For Sports Fans",,,
,,,,
380 (tie),Ohio University - Main Campus,"State School, Research University, Party School, For Sports Fans","$45,800.00","$77,400.00"
[object Object],"State School, Research University, Party School, For Sports Fans",,,
,,,,
382,University of Akron - Main Campus,"State School, Research University, For Sports Fans","$46,600.00","$77,300.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
383 (tie),Christian Brothers University,"Private School, Religious","$47,800.00","$77,200.00"
[object Object],"Private School, Religious",,,
,,,,
383 (tie),National University,Private School,"$50,900.00","$77,200.00"
[object Object],Private School,,,
,,,,
383 (tie),North Carolina A&T State University,"State School, For Sports Fans","$50,500.00","$77,200.00"
[object Object],"State School, For Sports Fans",,,
,,,,
383 (tie),Texas Christian University (TCU),"Private School, Religious, For Sports Fans","$47,800.00","$77,200.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
383 (tie),University of Alabama - Main Campus,"State School, Research University, For Sports Fans","$45,200.00","$77,200.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
383 (tie),Valparaiso University,"Private School, Religious, For Sports Fans","$46,300.00","$77,200.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
389 (tie),Cleveland State University,"State School, Research University, For Sports Fans","$45,200.00","$77,100.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
389 (tie),University of Bridgeport (UB),Private School,"$41,600.00","$77,100.00"
